SID,YEAR,MONTH,DAY,LAKE,STATE_PROV,SITE,ST_SITE,LATITUDE,LONGITUDE,GRID,STAT_DIST,LS_MGMT,SPECIES,STRAIN,NO_STOCKED,YEAR_CLASS,STAGE,AGEMONTH,MARK,MARK_EFF,TAG_NO,TAG_RET,LENGTH,WEIGHT,CONDITION,LOT_CODE,STOCK_METH,AGENCY,VALIDATION,NOTES
20110097,2010,6,29,MI,IN,LAKE MICHIGAN,,41.642965,-87.41308,2804,IND,,BNT,PR,35053,2010,suf,7,NC,,,,127,,1,10UIL,t,INDNR,2,Buffington Harbor(Illinois reared)
20110520,2010,7,1,MI,IL,"CHICAGO, BELMONT HARBOR",,,,2603,ILL,,BNT,PR,10109,2010,f,7,NC,,,,127,447,0,,t,ILDNR,9,
20110521,2010,7,1,MI,IL,"CHICAGO, BURNHAM HARBOR",,,,2603,ILL,,BNT,PR,10109,2010,f,7,NC,,,,127,447,0,,t,ILDNR,9,
20110523,2010,7,7,MI,IL,"CHICAGO, CALUMET HARBOR",,,,2703,ILL,,BNT,PR,10082,2010,f,7,NC,,,,127,439,0,,t,ILDNR,9,
20110524,2010,7,1,MI,IL,"CHICAGO, DIVERSEY HARBOR",,,,2603,ILL,,BNT,PR,10110,2010,f,7,NC,,,,127,447,0,,t,ILDNR,9,
20110528,2010,7,7,MI,IL,"CHICAGO, JACKSON HARBOR",,,,2703,ILL,,BNT,PR,10082,2010,f,7,NC,,,,127,440,0,,t,ILDNR,9,
20110534,2010,7,1,MI,IL,"CHICAGO, MONTROSE HARBOR",,,,2603,ILL,,BNT,PR,10110,2010,f,7,NC,,,,127,447,0,,t,ILDNR,9,
20110538,2010,7,7,MI,IL,"EVANSTON, DAWES PARK",,,,2503,ILL,,BNT,PR,9874,2010,f,7,NC,,,,127,429,0,,t,ILDNR,9,
20110539,2010,7,7,MI,IL,HIGHLAND PARK,,,,2402,ILL,,BNT,PR,9874,2010,f,7,NC,,,,127,429,0,,t,ILDNR,9,
20110541,2010,7,8,MI,IL,NORTH POINT MARINA,,,,2302,ILL,,BNT,PR,12302,2010,f,7,NC,,,,127,588,0,,t,ILDNR,9,
20110542,2010,7,8,MI,IL,"WAUKEGAN, SOUTH HARBOR",,,,2302,ILL,,BNT,PR,12302,2010,f,7,NC,,,,127,588,0,,t,ILDNR,9,
20110649,2010,3,29,MI,MI,"MUSKEGON LAKE OUTLET, MUSKEGON LAKE OUTLET",,,,1810,MM7,,BNT,WR,6768,2009,y,,NC,,,,163.1,371.8,,P-BNT-WR-D-08-OD-HA,u,MIDNR,,State Plant
20110650,2010,3,29,MI,MI,"WHITE LAKE CHANNEL, MONTAGUE",,,,1710,MM7,,BNT,WR,6768,2009,y,,NC,,,,163.1,371.8,,P-BNT-WR-D-08-OD-HA,u,MIDNR,,State Plant
20110659,2010,3,31,MI,MI,"PENTWATER RIVER, PENTWATER CHANNEL",,,,1510,MM6,,BNT,WR,13532,2009,y,,NC,,,,171.4,862,,P-BNT-WR-D-08-OD-HA,u,MIDNR,,State Plant
20110660,2010,3,31,MI,MI,"PENTWATER RIVER, PENTWATER CHANNEL",,,,1510,MM6,,BNT,WR,6768,2009,y,,NC,,,,171.4,431,,P-BNT-WR-D-08-OD-HA,u,MIDNR,,State Plant
20110661,2010,3,31,MI,MI,"WHITE LAKE CHANNEL, MONTAGUE",,,,1710,MM7,,BNT,WR,6768,2009,y,,NC,,,,171.4,431,,P-BNT-WR-D-08-OD-HA,u,MIDNR,,State Plant
20110664,2010,4,1,MI,MI,"BARK RIVER, BARK RIVER @ M-35/FULLER PARK",,,,405,MM1,,BNT,GC,11000,2009,y,,NC,,,,166,561.51,,P-BNT-GC-D-08-OD-TH,u,MIDNR,,State Plant
20110665,2010,4,1,MI,MI,"BARK RIVER, BARK RIVER @ M-35/FULLER PARK",,,,405,MM1,,BNT,GC,11000,2009,y,,NC,,,,166,561.51,,P-BNT-GC-D-08-OD-TH,u,MIDNR,,State Plant
20110670,2010,4,2,MI,MI,"PORTAGE LAKE, PORTAGE LAKE P.A.S.",,,,1111,MM6,,BNT,WR,7500,2009,y,,NC,,,,166.4,433.6,,P-BNT-WR-D-08-OD-HA,u,MIDNR,,State Plant
20110672,2010,4,2,MI,MI,"PORTAGE LAKE, PORTAGE LAKE P.A.S.",,,,1111,MM6,,BNT,WR,7500,2009,y,,NC,,,,166.4,433.6,,P-BNT-WR-D-08-OD-HA,u,MIDNR,,State Plant
20110673,2010,4,2,MI,MI,"LAKE MICHIGAN, W GD TRAVERSE BAY-BOWERS HARB",,,,815,MM4,,BNT,WR,13600,2009,y,,NC,,,,175,1000,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110674,2010,4,2,MI,MI,"LAKE MICHIGAN, W GD TRAVERSE BAY-BOWERS HARB",,,,815,MM4,,BNT,WR,15400,2009,y,,NC,,,,166,992.6,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110675,2010,4,2,MI,MI,"LAKE MICHIGAN, W GD TRAVERSE BAY-BOWERS HARB",,,,815,MM4,,BNT,WR,17200,2009,y,,NC,,,,160,985.2,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110680,2010,4,5,MI,MI,"LAKE MICHIGAN, GREILICKVILLE-BREWERY CREEK",,,,915,MM4,,BNT,WR,14800,2009,y,,NC,,,,169,988,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110683,2010,4,5,MI,MI,"LAKE MICHIGAN, W GD TRAVERSE BAY-BOWERS HARB",,,,815,MM4,,BNT,WR,7400,2009,y,,NC,,,,169,494,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110684,2010,4,5,MI,MI,"LAKE MICHIGAN, MENOMINEE YACHT HARBOR",,,,703,MM1,,BNT,WR,12000,2009,y,,RV,,,,165,748.2,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110685,2010,4,5,MI,MI,"LAKE MICHIGAN, MENOMINEE YACHT HARBOR",,,,703,MM1,,BNT,SR,12000,2009,y,,LV,,,,100,114.8,,P-BNT-SR-D-08-OD,u,MIDNR,,State Plant
20110688,2010,4,6,MI,MI,"LAKE MICHIGAN, GREILICKVILLE-BREWERY CREEK",,,,915,MM4,,BNT,WR,13500,2009,y,,NC,,,,173,972,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110689,2010,4,6,MI,MI,"LAKE MICHIGAN, GREILICKVILLE-BREWERY CREEK",,,,915,MM4,,BNT,WR,13500,2009,y,,NC,,,,173,972,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110690,2010,4,7,MI,MI,"LAKE MICHIGAN, GREILICKVILLE-BREWERY CREEK",,,,915,MM4,,BNT,WR,13500,2009,y,,NC,,,,173,972,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110693,2010,4,7,MI,MI,"LAKE MICHIGAN, E GD TRAVERSE BAY-DEEPWATER PT",,,,916,MM4,,BNT,SR,37000,2009,y,,NC,,,,95,195,,P-BNT-SR-D-08-OD,u,MIDNR,,State Plant
20110695,2010,4,8,MI,MI,"MANISTIQUE RIVER, CITY OF MANISTIQUE PAS",,,,211,MM2,,BNT,GC,10000,2009,y,,NC,,,,166,509.42,,P-BNT-GC-D-08-OD-TH,u,MIDNR,,State Plant
20110698,2010,4,9,MI,MI,"LAKE MICHIGAN, L TRAVERSE BAY-HARBOR SPRING",,,,519,MM3,,BNT,WR,13000,2009,y,,NC,,,,165,816.4,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110699,2010,4,9,MI,MI,"BLACK RIVER (SOUTH HAVEN), SOUTH HAVEN",,,,2311,MM8,,BNT,GC,24100,2009,y,,NC,,,,124.6,546.5,,P-BNT-GC-D-08-OD-HA,u,MIDNR,,State Plant
20110700,2010,4,9,MI,MI,"MACATAWA RIVER, HOLLAND",,,,2111,MM8,,BNT,SR,25000,2009,y,,LV,,,,121.5,495,,P-BNT-SR-D-08-OD-HA,u,MIDNR,,State Plant
20110701,2010,4,9,MI,MI,"GRAND RIVER, CITY MARINA",,,,1911,MM7,,BNT,GC,15900,2009,y,,NC,,,,124.6,360.5,,P-BNT-GC-D-08-OD-HA,u,MIDNR,,State Plant
20110702,2010,4,9,MI,MI,"LAKE MICHIGAN, E GD TRAVERSE BAY-DEEPWATER PT",,,,916,MM4,,BNT,WR,15334,2009,y,,NC,,,,165,962.8,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110703,2010,4,9,MI,MI,"LAKE MICHIGAN, E GD TRAVERSE BAY-4 MILE ROAD",,,,916,MM4,,BNT,WR,7666,2009,y,,NC,,,,165,481.4,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110704,2010,4,9,MI,MI,"LAKE MICHIGAN, L TRAVERSE BAY-HARBOR SPRING",,,,519,MM3,,BNT,WR,6200,2009,y,,NC,,,,165,389.4,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
20110706,2010,4,12,MI,MI,"FORD RIVER, FORD RIVER AT M-35",,,,306,MM1,,BNT,WR,13636,2009,y,,NC,,,,163,814.8,,P-BNT-WR-D-08-OD,u,MIDNR,,State Plant
