SID,YEAR,MONTH,DAY,LAKE,STATE_PROV,SITE,ST_SITE,LATITUDE,LONGITUDE,GRID,STAT_DIST,LS_MGMT,SPECIES,STRAIN,NO_STOCKED,YEAR_CLASS,STAGE,AGEMONTH,MARK,MARK_EFF,TAG_NO,TAG_RET,LENGTH,WEIGHT,CONDITION,LOT_CODE,STOCK_METH,AGENCY,VALIDATION,NOTES
20100001,2009,7,8,MI,IN,LAKE MICHIGAN,,,,2806,IND,,BNT,PR,23039,2009,suf,7,NC,,,,129,,1,9UIL,t,INDNR,2,Port of Indiana(Illinois reared)
20100034,2009,7,1,MI,IL,HIGHLAND PARK,,,,2402,ILL,,BNT,PR,10028,2009,f,7,NC,,,,127,460,0,,t,ILDNR,9,
20100035,2009,7,1,MI,IL,"EVANSTON, DAWES PARK",,,,2503,ILL,,BNT,PR,10028,2009,f,7,NC,,,,127,460,0,,t,ILDNR,9,
20100036,2009,7,6,MI,IL,"CHICAGO, MONTROSE HARBOR",,,,2603,ILL,,BNT,PR,10015,2009,f,7,NC,,,,127,496,0,,t,ILDNR,9,
20100037,2009,7,6,MI,IL,"CHICAGO, BELMONT HARBOR",,,,2603,ILL,,BNT,PR,10015,2009,f,7,NC,,,,127,496,0,,t,ILDNR,9,
20100038,2009,7,6,MI,IL,"CHICAGO, BURNHAM HARBOR",,,,2603,ILL,,BNT,PR,10016,2009,f,7,NC,,,,127,496,0,,t,ILDNR,9,
20100039,2009,7,6,MI,IL,"CHICAGO, DIVERSEY HARBOR",,,,2603,ILL,,BNT,PR,10016,2009,f,7,NC,,,,127,496,0,,t,ILDNR,9,
20100040,2009,7,2,MI,IL,"CHICAGO, JACKSON HARBOR",,,,2703,ILL,,BNT,PR,10028,2009,f,7,NC,,,,127,460,0,,t,ILDNR,9,
20100041,2009,7,2,MI,IL,"CHICAGO, CALUMET HARBOR",,,,2703,ILL,,BNT,PR,10028,2009,f,7,NC,,,,127,460,0,,t,ILDNR,9,
20100042,2009,7,7,MI,IL,"WAUKEGAN, SOUTH HARBOR",,,,2302,ILL,,BNT,PR,10000,2009,f,7,NC,,,,127,513,0,,t,ILDNR,9,
20100043,2009,7,7,MI,IL,NORTH POINT MARINA,,,,2302,ILL,,BNT,PR,10000,2009,f,7,NC,,,,127,513,0,,t,ILDNR,9,
20100243,2009,3,24,MI,MI,"LAKE MICHIGAN, L B DENOC-ESCR WELLS PAS",,,,306,MM1,,BNT,GC,17000,2008,y,,NC,,,,161,792.91,,P-BNT-GC-D-07-OD-TH,u,MIDNR,,State Plant
20100244,2009,3,24,MI,MI,"LAKE MICHIGAN, L B DENOC-ESCR WELLS PAS",,,,306,MM1,,BNT,GC,17000,2008,y,,NC,,,,161,792.91,,P-BNT-GC-D-07-OD-TH,u,MIDNR,,State Plant
20100245,2009,3,24,MI,MI,"LAKE MICHIGAN, MENOMINEE YACHT HARBOR",,,,703,MM1,,BNT,GC,21000,2008,y,,NC,,,,161,979.48,,P-BNT-GC-D-07-OD-TH,u,MIDNR,,State Plant
20100246,2009,3,24,MI,MI,"LAKE MICHIGAN, L B DENOC-ESCR WELLS PAS",,,,306,MM1,,BNT,GC,11605,2008,y,,NC,,,,161,541.3,,P-BNT-GC-D-07-OD-TH,u,MIDNR,,State Plant
20100255,2009,3,26,MI,MI,"GALIEN RIVER, RED ARROW HWY",,,,2708,MM8,,BNT,GC,25000,2008,y,,NC,,,,116.6,458.7,,P-BNT-GC-D-07-OD-HA,u,MIDNR,,State Plant
20100256,2009,3,27,MI,MI,"LAKE MICHIGAN, L B DENOC-ESCR WELLS PAS",,,,306,MM1,,BNT,GC,14395,2008,y,,NC,,,,169,786.61,,P-BNT-GC-D-07-OD-TH,u,MIDNR,,State Plant
