SID,YEAR,MONTH,DAY,LAKE,STATE_PROV,SITE,ST_SITE,LATITUDE,LONGITUDE,GRID,STAT_DIST,LS_MGMT,SPECIES,STRAIN,NO_STOCKED,YEAR_CLASS,STAGE,AGEMONTH,MARK,MARK_EFF,TAG_NO,TAG_RET,LENGTH,WEIGHT,CONDITION,LOT_CODE,STOCK_METH,AGENCY,VALIDATION,NOTES
20140213,2013,7,31,MI,IL,"CHICAGO, 31ST STREET HARBOR",,,,2603,ILL,,BNT,PR,10257,2013,f,7,NC,,,,127,466,0,,t,ILDNR,9,
20140215,2013,7,31,MI,IL,"CHICAGO, BELMONT HARBOR",,,,2603,ILL,,BNT,PR,10257,2013,f,7,NC,,,,127,466,0,,t,ILDNR,9,
20140216,2013,7,29,MI,IL,"CHICAGO, BURNHAM HARBOR",,,,2603,ILL,,BNT,PR,10053,2013,f,7,NC,,,,127,451,0,,t,ILDNR,9,
20140218,2013,7,31,MI,IL,"CHICAGO, CALUMET HARBOR",,,,2703,ILL,,BNT,PR,10257,2013,f,7,NC,,,,127,466,0,,t,ILDNR,9,
20140219,2013,7,29,MI,IL,"CHICAGO, DIVERSEY HARBOR",,,,2603,ILL,,BNT,PR,10053,2013,f,7,NC,,,,127,451,0,,t,ILDNR,9,
20140223,2013,7,31,MI,IL,"CHICAGO, JACKSON HARBOR",,,,2703,ILL,,BNT,PR,10257,2013,f,7,NC,,,,127,466,0,,t,ILDNR,9,
20140227,2013,7,29,MI,IL,"CHICAGO, MONTROSE HARBOR",,,,2603,ILL,,BNT,PR,10053,2013,f,7,NC,,,,127,451,0,,t,ILDNR,9,
20140229,2013,7,29,MI,IL,"EVANSTON, DAWES PARK",,,,2503,ILL,,BNT,PR,10053,2013,f,7,NC,,,,127,451,0,,t,ILDNR,9,
20140232,2013,7,30,MI,IL,NORTH POINT MARINA,,,,2302,ILL,,BNT,PR,10508,2013,f,7,NC,,,,127,473,0,,t,ILDNR,9,
20140233,2013,7,30,MI,IL,"WAUKEGAN, SOUTH HARBOR",,,,2302,ILL,,BNT,PR,10516,2013,f,7,NC,,,,127,473,0,,t,ILDNR,9,
20140237,2013,4,10,MI,IN,Lake Michigan,,41.642965,-87.41308,2704,IND,,BNT,PR,47500,2013,sf,4,NC,,,,70,,1,12UIL,t,INDNR,2,Buffington Harbor
20140288,2013,5,15,MI,WI,RAWLEYS BAY - STOCKING,,45.2183,-87.0324,607,WM2,,BNT,WR,7022,2011,y,,NC,,,,220.98,838.2386998,6,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-WR--BR,,WIDNR,2,
20140289,2013,5,22,MI,WI,STURGEON BAY SHIP CANAL COAST GUARD STATION STOCKING,,44.759,-87.3141,905,WM3,,BNT,SE,16848,2012,y,,NC,,,,137.16,489.4261672,6,I21-SF-2012-FERAL-2012-MI-WR-WR-WR-WR--BR,,WIDNR,2,
20140290,2013,5,23,MI,WI,STURGEON BAY SHIP CANAL COAST GUARD STATION STOCKING,,44.759,-87.3141,905,WM3,,BNT,SE,10146,2012,y,,NC,,,,137.16,293.9278558,6,I21-SF-2012-FERAL-2012-MI-WR-WR-WR-WR--BR,,WIDNR,2,15.6/lb.
20140306,2013,5,8,MI,WI,OFFSHORE GRID 703,,45.047568,-87.5157066,703,WM1,,BNT,WR,6930,2011,y,,NC,,,,208.788,713.9543904,6,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-TR--TR,,WIDNR,2,Stocked offshore by R/V Coregonus in 72 FOW.
20140307,2013,5,8,MI,WI,OFFSHORE GRID 703,,45.047568,-87.5157066,703,WM1,,BNT,WR,6854,2011,y,,NC,,,,208.788,706.2433201,6,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-TR--TR,,WIDNR,2,Stocked offshore by R/V Coregonus in 63 FOW.
20140323,2013,5,8,MI,WI,OFFSHORE GRID 703,,45.047568,-87.5157066,703,WM1,,BNT,WR,6732,2011,y,,NC,,,,208.788,692.635549,6,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-TR--TR,,WIDNR,2,Stocked offshore by R/V Coregonus in 52 FOW.
20140324,2013,5,8,MI,WI,OFFSHORE GRID 703,,45.047568,-87.5157066,703,WM1,,BNT,WR,6648,2011,y,,NC,,,,208.788,684.9244787,6,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-TR--TR,,WIDNR,2,Stocked offshore by R/V Coregonus in 55 FOW.
20140325,2013,5,8,MI,WI,OFFSHORE GRID 703,,45.047568,-87.5157066,703,WM1,,BNT,WR,6855,2011,y,,NC,,,,208.788,706.2433201,6,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-TR--TR,,WIDNR,2,Stocked offshore by R/V Coregonus in 55 FOW.
20140326,2013,5,8,MI,WI,OFFSHORE GRID 703,,45.047568,-87.5157066,703,WM1,,BNT,WR,6626,2011,y,,NC,,,,208.788,682.6565169,6,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-TR--TR,,WIDNR,2,Stocked offshore by R/V Coregonus in 71 FOW.
20140327,2013,4,25,MI,WI,STURGEON BAY SHIP CANAL COAST GUARD STATION STOCKING,,44.759,-87.3141,905,WM3,,BNT,WR,2322,2011,y,,NC,,,,204.978,224.0746308,6,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-TR--TR,,WIDNR,2,
20140328,2013,4,25,MI,WI,BAILEYS HARBOR - STOCKING,,45.0583,-87.1236,706,WM3,,BNT,WR,482,2011,y,,NC,,,,204.978,46.72001411,6,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-TR--TR,,WIDNR,2,
20140329,2013,5,8,MI,WI,OFFSHORE GRID 703,,45.047568,-87.5157066,703,WM1,,BNT,WR,5121,2011,y,,NC,,,,208.788,523.445595,3,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-TR--TR,,WIDNR,2,Stocked offshore by R/V Coregonus in 67 FOW.
20140330,2013,5,8,MI,WI,OFFSHORE GRID 703,,45.047568,-87.5157066,703,WM1,,BNT,WR,7009,2011,y,,NC,,,,208.788,722.119053,6,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-TR--TR,,WIDNR,2,Stocked offshore by R/V Coregonus in 61 FOW.
20140331,2013,4,25,MI,WI,DETROIT HARBOR_GENERAL LAKE STATION,,45.34254,-86.92392,607,WM2,,BNT,WR,5015,2011,y,,NC,,,,204.978,483.9830588,6,I21-WR-2011-DOMESTIC-2011-WR-WR-WR-WR-TR--TR,,WIDNR,2,
20140332,2013,10,1,MI,WI,STURGEON BAY SHIP CANAL COAST GUARD STATION STOCKING,,44.759,-87.3141,905,WM3,,BNT,WR,9274,2012,ff,,NC,,,,195.834,782.9004306,6,I21-WR-2012-DOMESTIC-2012-WR-WR-WR-WR-TR--TR,,WIDNR,2,
20140333,2013,10,2,MI,WI,STURGEON BAY SHIP CANAL COAST GUARD STATION STOCKING,,44.759,-87.3141,905,WM3,,BNT,WR,9086,2012,ff,,NC,,,,195.834,767.47829,6,I21-WR-2012-DOMESTIC-2012-WR-WR-WR-WR-TR--TR,,WIDNR,2,
20140334,2013,10,3,MI,WI,STURGEON BAY SHIP CANAL COAST GUARD STATION STOCKING,,44.759,-87.3141,905,WM3,,BNT,WR,9167,2012,ff,,NC,,,,195.834,774.2821756,6,I21-WR-2012-DOMESTIC-2012-WR-WR-WR-WR-TR--TR,,WIDNR,2,
20140335,2013,10,3,MI,WI,STURGEON BAY SHIP CANAL COAST GUARD STATION STOCKING,,44.759,-87.3141,905,WM3,,BNT,WR,5209,2012,ff,,NC,,,,195.834,439.9845989,6,I21-WR-2012-DOMESTIC-2012-WR-WR-WR-WR-TR--TR,,WIDNR,2,
20140337,2013,3,13,MI,WI,NORTHPORT FERRY DOCK - STOCKING,,45.2905,-86.9772,607,WM2,,BNT,SE,12432,2012,y,,NC,,,,177.8,772.4678061,6,I21-SF-2012-FERAL-2012-MI-WR-WR-WR---WR,,WIDNR,2,Wild Rose Hatchery record no. 10
20140338,2013,5,6,MI,WI,OFFSHORE GRID 804,,44.92594,-87.43482,804,WM1,,BNT,SE,9467,2012,y,,NC,,,,195.58,703.0681735,6,I21-SF-2012-FERAL-2012-MI-WR-WR-WR---WR,,WIDNR,2,
20140339,2013,2,6,MI,WI,STONE QUARRY - STOCKING,,44.9038,-87.405,804,WM1,,BNT,SE,19505,2012,y,,ADLM,,,,172.72,1228.78173,6,I21-SF-2012-FERAL-2012-MI-WR-WR-WR---WR,,WIDNR,2,Stocked through the ice.
20140340,2013,4,24,MI,WI,STURGEON BAY SHIP CANAL COAST GUARD STATION STOCKING,,44.759,-87.3141,905,WM3,,BNT,SE,9675,2012,y,,NC,,,,190.5,679.9349626,6,I21-SF-2012-FERAL-2012-MI-WR-WR-WR---WR,,WIDNR,2,Wild Rose hatchery record no. 39. Stocked for Thunder River STRS quota.
20140341,2013,2,8,MI,WI,STONE QUARRY - STOCKING,,44.9038,-87.405,804,WM1,,BNT,SE,10572,2012,y,,ADLM,,,,175.26,643.647573,6,I21-SF-2012-FERAL-2012-MI-WR-WR-WR---WR,,WIDNR,2,Wild Rose Hatchery record no. 2. Fish stocked through ice.
20140342,2013,2,12,MI,WI,BAILEYS HARBOR HICKEY DOCK STOCKING,,45.0627,-87.0961,706,WM3,,BNT,SE,12414,2012,y,,NC,,,,175.26,728.9229386,6,I21-SF-2012-FERAL-2012-MI-WR-WR-WR---WR,,WIDNR,2,Wild Rose Hatchery record no. 3. 7.72/lb.
20140343,2013,3,14,MI,WI,BAILEYS HARBOR HICKEY DOCK STOCKING,,45.0627,-87.0961,706,WM3,,BNT,SE,9681,2012,y,,NC,,,,175.26,627.3182477,6,I21-SF-2012-FERAL-2012-MI-WR-WR-WR---WR,,WIDNR,2,Wild Rose Hatchery record no. 12.
20140344,2013,4,24,MI,WI,BAILEYS HARBOR HICKEY DOCK STOCKING,,45.0627,-87.0961,706,WM3,,BNT,SE,9951,2012,y,,NC,,,,193.04,728.0157539,6,I21-SF-2012-FERAL-2012-MI-WR-WR-WR---WR,,WIDNR,2,Wild Rose hatchery record no. 39. Fished stocked against a Thunder R. STRS quota.
